# format: as|source|type
# date: 20150802
# name: as2type
# exe: type-convert-amogh.pl
# files: /project/as2org/20150801/asclass/exp-sets/20150801.merged.class.txt
# types: Content|Enterprise|Transit/Access
1433|CAIDA_class|Enterprise
1434|CAIDA_class|Enterprise
1435|CAIDA_class|Enterprise
1436|CAIDA_class|Enterprise
1437|CAIDA_class|Enterprise
1438|CAIDA_class|Transit/Access
1439|CAIDA_class|Enterprise
1440|manual_class|Enterprise
1442|CAIDA_class|Content
1443|CAIDA_class|Enterprise
1444|CAIDA_class|Enterprise
1445|CAIDA_class|Enterprise
1446|CAIDA_class|Enterprise
1447|CAIDA_class|Enterprise
1449|CAIDA_class|Enterprise
1451|CAIDA_class|Transit/Access
1452|CAIDA_class|Transit/Access
1453|CAIDA_class|Transit/Access
1455|CAIDA_class|Transit/Access
1456|CAIDA_class|Transit/Access
1457|CAIDA_class|Transit/Access
1458|CAIDA_class|Transit/Access
1460|CAIDA_class|Transit/Access
1461|CAIDA_class|Transit/Access
1462|CAIDA_class|Transit/Access
1463|CAIDA_class|Transit/Access
1464|CAIDA_class|Transit/Access
1466|CAIDA_class|Transit/Access
1467|manual_class|Enterprise
1468|CAIDA_class|Transit/Access
1471|CAIDA_class|Transit/Access
1472|CAIDA_class|Transit/Access
1474|CAIDA_class|Transit/Access
1475|CAIDA_class|Transit/Access
1476|CAIDA_class|Transit/Access
1477|CAIDA_class|Transit/Access
1479|CAIDA_class|Transit/Access
1480|CAIDA_class|Transit/Access
1482|CAIDA_class|Transit/Access
1483|CAIDA_class|Transit/Access
1484|CAIDA_class|Transit/Access
1489|CAIDA_class|Transit/Access
1490|CAIDA_class|Transit/Access
1491|CAIDA_class|Transit/Access
1494|CAIDA_class|Transit/Access
1495|CAIDA_class|Transit/Access
1498|CAIDA_class|Transit/Access
1500|CAIDA_class|Transit/Access
1501|CAIDA_class|Transit/Access
1502|CAIDA_class|Transit/Access
1503|CAIDA_class|Transit/Access
1504|CAIDA_class|Transit/Access
1505|CAIDA_class|Transit/Access
1506|CAIDA_class|Transit/Access
1509|CAIDA_class|Transit/Access
1510|CAIDA_class|Transit/Access
1511|CAIDA_class|Transit/Access
1515|CAIDA_class|Transit/Access
1516|CAIDA_class|Transit/Access
1519|CAIDA_class|Transit/Access
1524|CAIDA_class|Transit/Access
1525|CAIDA_class|Transit/Access
1526|CAIDA_class|Transit/Access
1527|CAIDA_class|Transit/Access
1528|CAIDA_class|Transit/Access
1531|CAIDA_class|Transit/Access
1533|CAIDA_class|Transit/Access
1535|CAIDA_class|Transit/Access
1539|manual_class|Enterprise
1547|peerDB_class|Transit/Access
1551|CAIDA_class|Transit/Access
1553|CAIDA_class|Enterprise
1554|CAIDA_class|Transit/Access
1555|CAIDA_class|Transit/Access
1556|CAIDA_class|Transit/Access
1559|CAIDA_class|Transit/Access
1562|CAIDA_class|Transit/Access
1563|CAIDA_class|Transit/Access
1565|CAIDA_class|Transit/Access
1567|CAIDA_class|Transit/Access
1568|CAIDA_class|Transit/Access
1569|CAIDA_class|Transit/Access
1580|CAIDA_class|Transit/Access
1582|CAIDA_class|Transit/Access
1585|CAIDA_class|Transit/Access
1586|CAIDA_class|Transit/Access
1590|CAIDA_class|Transit/Access
1591|manual_class|Enterprise
1598|CAIDA_class|Transit/Access
1599|CAIDA_class|Transit/Access
1600|CAIDA_class|Transit/Access
1602|CAIDA_class|Transit/Access
1603|CAIDA_class|Transit/Access
1605|CAIDA_class|Enterprise
1606|CAIDA_class|Transit/Access
1608|CAIDA_class|Enterprise
1609|CAIDA_class|Enterprise
1610|CAIDA_class|Content
